URL: https://www.consumer.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793104.892735
URL: https://www.paypalcasinos.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793107.0178015
URL: https://www.vodafone.co.nz, Size: 163907 bytes, Status: 200, Depth: 0, Time: 1726793108.2265856
URL: https://www.anz.co.nz, Size: 340930 bytes, Status: 200, Depth: 0, Time: 1726793109.728008
URL: https://www.spark.co.nz, Size: 133740 bytes, Status: 200, Depth: 0, Time: 1726793111.907591
URL: https://www.aa.co.nz, Size: 27401 bytes, Status: 200, Depth: 0, Time: 1726793113.029949
URL: https://www.healthpoint.co.nz, Size: 18445 bytes, Status: 200, Depth: 0, Time: 1726793113.8930228
URL: https://www.westpac.co.nz, Size: 129377 bytes, Status: 200, Depth: 0, Time: 1726793115.4430122
URL: https://www.uniline.co.nz, Size: 30663 bytes, Status: 200, Depth: 0, Time: 1726793115.8523772
URL: https://www.bungy.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793116.4823267
URL: https://www.queenstownnz.co.nz, Size: 335682 bytes, Status: 200, Depth: 0, Time: 1726793117.018485
URL: https://www.wintec.ac.nz, Size: 162325 bytes, Status: 200, Depth: 0, Time: 1726793117.5687032
URL: https://www.skyline.co.nz, Size: 73199 bytes, Status: 200, Depth: 0, Time: 1726793119.7146068
URL: https://www.sunlive.co.nz, Size: 66773 bytes, Status: 200, Depth: 0, Time: 1726793124.0825882
URL: https://www.mpages.co.nz, Size: 39969 bytes, Status: 200, Depth: 0, Time: 1726793124.369222
URL: https://www.fyi.org.nz, Size: 15845 bytes, Status: 200, Depth: 0, Time: 1726793125.2259483
URL: https://www.prowzer.co.nz, Size: 31332 bytes, Status: 200, Depth: 0, Time: 1726793125.4225795
URL: https://www.grantthornton.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793128.2467556
URL: https://www.thepost.co.nz, Size: 2542 bytes, Status: 200, Depth: 0, Time: 1726793128.5004685
URL: https://www.hadley.nz, Size: 821891 bytes, Status: 200, Depth: 0, Time: 1726793129.4711888
URL: https://www.thepress.co.nz, Size: 2546 bytes, Status: 200, Depth: 0, Time: 1726793130.4209244
URL: https://www.twb.nz, Size: 13076 bytes, Status: 200, Depth: 0, Time: 1726793130.422924
URL: https://www.cryptopia.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793130.4279242
URL: https://www.wlug.org.nz, Size: 8803 bytes, Status: 200, Depth: 0, Time: 1726793130.641004
URL: https://www.sleepfrog.co.nz, Size: 153571 bytes, Status: 200, Depth: 0, Time: 1726793130.742752
URL: https://www.theassignmenthelp.co.nz, Size: 293474 bytes, Status: 200, Depth: 0, Time: 1726793131.9838626
URL: https://www.scuttlebutt.nz, Size: 6680 bytes, Status: 200, Depth: 0, Time: 1726793132.774744
URL: https://www.nzbirdsonline.org.nz, Size: 39179 bytes, Status: 200, Depth: 0, Time: 1726793132.8147733
URL: https://www.moneycard.co.nz, Size: 4209 bytes, Status: 200, Depth: 0, Time: 1726793137.8827808
URL: https://www.kiwibank.co.nz, Size: 455965 bytes, Status: 200, Depth: 0, Time: 1726793138.8321903
URL: https://www.bpac.org.nz, Size: 44529 bytes, Status: 200, Depth: 0, Time: 1726793139.6871085
URL: https://www.skylinebuildings.co.nz, Size: 315701 bytes, Status: 200, Depth: 0, Time: 1726793139.9791126
URL: https://www.greens.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793141.706617
URL: https://www.fishpond.co.nz, Size: 207482 bytes, Status: 200, Depth: 0, Time: 1726793142.4191856
URL: https://www.thecarpetbarn.co.nz, Size: 12478 bytes, Status: 200, Depth: 0, Time: 1726793142.9563377
URL: https://www.cafe10th.co.nz, Size: 8663 bytes, Status: 200, Depth: 0, Time: 1726793145.3872936
URL: https://www.teaonews.co.nz, Size: 162878 bytes, Status: 200, Depth: 0, Time: 1726793146.1918519
URL: https://www.tv3.co.nz, Size: 41580 bytes, Status: 200, Depth: 0, Time: 1726793148.6887183
URL: https://www.kidsonboard.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793149.545228
URL: https://www.getnewlook.co.nz, Size: 39278 bytes, Status: 200, Depth: 0, Time: 1726793150.231355
URL: https://www.resene.co.nz, Size: 131942 bytes, Status: 200, Depth: 0, Time: 1726793151.0127492
URL: https://www.klim.co.nz, Size: 91742 bytes, Status: 200, Depth: 0, Time: 1726793152.2619376
URL: https://www.labour.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793152.6183875
URL: https://www.neighbourly.co.nz, Size: 28254 bytes, Status: 200, Depth: 0, Time: 1726793152.921095
URL: https://www.forestandbird.org.nz, Size: 264556 bytes, Status: 200, Depth: 0, Time: 1726793153.2077956
URL: https://www.intercity.co.nz, Size: 48321 bytes, Status: 200, Depth: 0, Time: 1726793156.9778311
URL: https://www.reseller.co.nz, Size: 196301 bytes, Status: 200, Depth: 0, Time: 1726793158.4372153
URL: https://www.onlinepokiesnz.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793159.9981053
URL: https://www.cab.org.nz, Size: 85194 bytes, Status: 200, Depth: 0, Time: 1726793161.1707213
URL: https://www.ruralwireless.nz, Size: 190866 bytes, Status: 200, Depth: 0, Time: 1726793162.0830882
URL: https://www.spinbits.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793162.636016
URL: https://www.penguin.co.nz, Size: 347788 bytes, Status: 200, Depth: 0, Time: 1726793164.0529552
URL: https://www.dalusionfwx.co.nz, Size: 18585 bytes, Status: 200, Depth: 0, Time: 1726793166.6502209
URL: https://www.tubidy.ac.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793166.9774811
URL: https://www.maoriplus.co.nz, Size: 7746 bytes, Status: 200, Depth: 0, Time: 1726793167.3201835
URL: https://www.theharbour.org.nz, Size: 17552 bytes, Status: 200, Depth: 0, Time: 1726793167.4844406
URL: https://www.pcworld.co.nz, Size: 183536 bytes, Status: 200, Depth: 0, Time: 1726793171.0340836
URL: https://www.heritage.org.nz, Size: 42456 bytes, Status: 200, Depth: 0, Time: 1726793171.9439068
URL: https://www.lorde.co.nz, Size: 41724 bytes, Status: 200, Depth: 0, Time: 1726793174.068545
URL: https://www.hamiltongardens.co.nz, Size: 141665 bytes, Status: 200, Depth: 0, Time: 1726793174.3072062
URL: https://www.fireprotection.org.nz, Size: 31098 bytes, Status: 200, Depth: 0, Time: 1726793174.7852361
URL: https://www.nzme.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793175.0640168
URL: https://www.matakanacoast.co.nz, Size: 255051 bytes, Status: 200, Depth: 0, Time: 1726793179.6336339
URL: https://www.stjohn.org.nz, Size: 80498 bytes, Status: 200, Depth: 0, Time: 1726793180.3672779
URL: https://www.sorted.org.nz, Size: 196672 bytes, Status: 200, Depth: 0, Time: 1726793180.6115825
URL: https://www.fishingguides.co.nz, Size: 17271 bytes, Status: 200, Depth: 0, Time: 1726793180.8230896
URL: https://www.pokiesonlinenz.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793181.7643795
URL: https://www.national.org.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793185.6102695
URL: https://www.pontconsultants.co.nz, Size: 222 bytes, Status: 200, Depth: 0, Time: 1726793185.6794522
URL: https://www.interislander.co.nz, Size: 49406 bytes, Status: 200, Depth: 0, Time: 1726793186.1574643
URL: https://www.aardvark.co.nz, Size: 17537 bytes, Status: 200, Depth: 0, Time: 1726793186.560984
URL: https://www.lifeline.org.nz, Size: 65270 bytes, Status: 200, Depth: 0, Time: 1726793188.523988
URL: https://www.aucklandzoo.co.nz, Size: 61274 bytes, Status: 200, Depth: 0, Time: 1726793190.228992
URL: https://www.dentist.co.nz, Size: 47593 bytes, Status: 200, Depth: 0, Time: 1726793192.8917298
URL: https://www.mytaxback.co.nz, Size: 7887 bytes, Status: 200, Depth: 0, Time: 1726793193.3401756
URL: https://www.myweddingguide.co.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793194.6502836
URL: https://www.itp.nz, Size: 0 bytes, Status: Blocked by robots.txt, Depth: 0, Time: 1726793196.998678
URL: https://www.corso.co.nz, Size: 359397 bytes, Status: 200, Depth: 0, Time: 1726793197.9003315
URL: https://www.methods.co.nz, Size: 114 bytes, Status: 200, Depth: 0, Time: 1726793198.0003796
URL: https://www.kidshealth.org.nz, Size: 85434 bytes, Status: 200, Depth: 0, Time: 1726793198.2005725
